대륙,국가,성별,총합계,0세-4세,5세-9세,10세-14세,15세-19세,20세-24세,25세-29세,30세-34세,35세-39세,40세-44세,45세-49세,50세-54세,55세-59세,60세-64세,65세-69세,70세-74세,75세-79세,80세이상
아시아주,이스라엘,여성,6472,47,90,222,236,1036,883,588,323,297,319,378,358,370,506,499,268,52
아시아주,키르기즈,남성,6729,161,135,122,652,1040,994,1096,957,557,406,217,156,105,78,37,12,4
아시아주,키르기즈,여성,4869,135,129,125,461,841,620,556,443,344,334,243,191,190,152,81,16,8
아시아주,아랍에미리트연합,남성,4406,161,142,132,196,357,601,729,577,523,398,256,140,85,58,36,10,5
아시아주,아랍에미리트연합,여성,4146,134,143,187,283,434,654,644,516,350,289,188,161,84,48,21,6,4
아시아주,타지키스탄,남성,5501,31,33,33,140,652,988,1030,1185,806,337,158,65,29,9,4,1,0
아시아주,타지키스탄,여성,806,43,27,28,45,164,134,70,79,63,54,36,18,21,17,7,0,0
아시아주,브루나이,남성,2427,113,138,134,109,191,298,368,279,204,190,138,108,79,47,20,9,2
아시아주,브루나이,여성,3651,130,132,156,221,384,491,528,429,319,252,199,179,120,82,19,7,3
아시아주,쿠웨이트,남성,2091,30,58,67,92,129,350,406,324,184,115,116,91,71,40,13,4,1
아시아주,쿠웨이트,여성,2333,36,76,105,135,190,391,379,307,175,109,124,124,97,58,25,2,0
아시아주,이란,남성,2464,31,45,34,54,72,149,365,496,438,288,140,156,112,56,15,10,3
아시아주,이란,여성,1853,21,38,43,57,178,292,333,309,225,92,82,80,51,35,13,4,0
아시아주,카타르,남성,1309,51,65,53,50,83,159,178,152,114,115,85,80,75,21,24,3,1
아시아주,카타르,여성,1165,36,58,68,87,116,175,170,107,84,68,46,72,54,19,4,0,1
아시아주,이라크,남성,2083,10,16,12,29,174,279,297,312,276,249,211,119,61,24,13,1,0
아시아주,이라크,여성,378,11,11,11,10,45,71,67,37,26,20,28,22,11,6,2,0,0
아시아주,요르단,남성,1743,15,18,11,38,91,177,239,330,240,206,179,127,42,15,8,6,1
아시아주,요르단,여성,480,20,23,20,34,48,72,80,51,56,27,22,16,4,4,2,0,1
