이름,세부카테고리,주소,위도,경도,전화번호,링크
훠궈먹고 신촌점,중식>중식당,서울특별시 서대문구 연세로 10 2층,37.5563872,126.9370569,,https://www.instagram.com/hotpot_mukgo_official/
용가회전훠궈 강남점,중식>중식당,"서울특별시 서초구 서초대로77길 43 2층, 3층",37.5013980,127.0249296,,
따롱이훠궈 강남점,중식>중식당,서울특별시 서초구 서초대로73길 9 2층,37.4983148,127.0252316,,http://dalongyi.co.kr/
양복점 성수점,중식>양꼬치,서울특별시 성동구 왕십리로4길 28-2 1층,37.5471262,127.0466082,,https://app.catchtable.co.kr/ct/shop/mabong_sungsu
춘향미엔 왕십리점,중식>중식당,서울특별시 성동구 왕십리로21길 26 1층,37.5605097,127.0320356,,
해피베네핏 성수,중식>중식당,서울특별시 성동구 성수이로7길 27 서울숲디지털코오롱타워2차 지하102호,37.5415748,127.0534199,,https://www.instagram.com/happybenefit_official
마라전설 본점,중식>중식당,서울특별시 성동구 왕십리로 410 제이동 135호,37.5653042,127.0251900,,https://malalegend.com
애정마라샹궈,중식>중식당,서울특별시 성북구 동소문로20나길 11 2층,37.5921882,127.0172450,,https://www.instagram.com/aiqingmala_official?igsh=YXpmdWdwejF6MGo3&utm_source=qr
짬뽕선수,중식>중식당,서울특별시 성북구 동소문로20가길 2 2층,37.5921077,127.0167321,,http://instagram.com/pro_jjambbong
댄싱홍콩 롯데월드몰점,중식>중식당,서울특별시 송파구 올림픽로 300 롯데월드몰 지하1층,37.5134112,127.1037329,,https://www.instagram.com/dancing_hongkong.official
진지아,중식>중식당,"서울특별시 송파구 백제고분로41길 12-9 1층, 2층",37.5075890,127.1082625,,https://smartstore.naver.com/jinjiaa
성화마라탕 잠실점,중식>중식당,"서울특별시 송파구 올림픽로35가길 9 지하1층 B39, 40호",37.5173496,127.1034097,,
오향가,중식>중식당,서울특별시 송파구 송이로 106,37.4967290,127.1213730,,
일일미미 목동41타워점,중식>중식당,서울특별시 양천구 목동동로 293 3층 311B호,37.5281774,126.8757769,,https://irirmimi.com/
춘리마라탕 목동점,중식>마라탕,서울특별시 양천구 목동로 179 1층,37.5245075,126.8645662,,https://www.instagram.com/chunli4686?igsh=MXN3NngwbGsxOWRiYQ%3D%3D
락희안 목동직영점,중식>중식당,"서울특별시 양천구 오목로 330 2, 3층",37.5244386,126.8740003,,https://www.instagram.com/the_lexian/
할범탕수육 본점,중식>중식당,서울특별시 양천구 목동중앙북로 15,37.5484996,126.8653933,,
문래양가,중식>양꼬치,서울특별시 영등포구 경인로79길 17-2 1층,37.5134108,126.8934156,,
무탄 여의도점,중식>중식당,"서울특별시 영등포구 의사당대로 96 TP타워 2층 201, 202호",37.5215212,126.9228725,,https://www.instagram.com/mutandining
송죽장,중식>중식당,서울특별시 영등포구 문래로 203,37.5182543,126.9047155,,http://영등포맛집.com
한남동자리 한남점,중식>중식당,서울특별시 용산구 이태원로54길 5-5 한남동자리 한남점,37.5380074,127.0021271,,
팀호완 용산점,"중식>딤섬,중식만두",서울특별시 용산구 한강대로23길 55 아이파크몰 패션파크 1층,37.5299778,126.9660741,,http://www.instagram.com/timhowan_korea
꺼거,중식>중식당,서울특별시 용산구 한강대로48길 10,37.5315556,126.9711258,,https://www.instagram.com/wearegege/
탕면,중식>중식당,서울특별시 은평구 진관3로 33 꿈에그린 상가 b111호,37.6402013,126.9198437,,
차이몬스터,중식>중식당,서울특별시 은평구 불광천길 334,37.5889900,126.9140675,,https://www.instagram.com/chaimonster1
중화원,중식>중식당,서울특별시 은평구 통일로66길 10-16 1층,37.6099580,126.9317413,,
해피니스 대학로점,중식>중식당,서울특별시 종로구 대학로11길 40 세훈빌딩 1층,37.5824470,126.9996673,,https://blog.naver.com/happieness_hyehwa
무탄 광화문점,중식>중식당,서울특별시 종로구 새문안로 68 흥국생명빌딩 지하 1층,37.5696647,126.9721401,,https://naver.me/5uc3NJV7
갸우뚱,중식>중식당,서울특별시 종로구 대학로9길 25,37.5816140,127.0004372,,https://app.catchtable.co.kr/ct/shop/gyauttung_seoul
천향원 명동점,중식>중식당,서울특별시 중구 남대문로7길 33 소공빌딩 2층 천향원,37.5637808,126.9800515,,
용가회전훠궈 명동점,중식>중식당,"서울특별시 중구 명동3길 12 2, 3층",37.5642295,126.9836250,,https://www.instagram.com/loonger_md_myeongdong
착한마라탕 본점,중식>중식당,서울특별시 중랑구 동일로 825 1층,37.6041185,127.0787763,,https://kindfood.kr
춘리마라탕 면목점,중식>마라탕,"서울특별시 중랑구 용마산로 388 1층 7, 8호",37.5862869,127.0953330,,https://chunlimalatang.com/
