이름,세부카테고리,주소,위도,경도,전화번호,링크
크우익가든,뷔페>고기뷔페,서울특별시 성동구 고산자로2길 4-1,37.5519918,127.0357120,,
마키노차야 목동점,뷔페>해산물뷔페,서울특별시 양천구 오목로 300 현대하이페리온2차 206동 지하1층,37.5247137,126.8709536,,https://www.makinochaya.co.kr/html/
