이름,세부카테고리,주소,위도,경도,전화번호,링크
파스타인카페,"이탈리아음식>스파게티,파스타전문",서울특별시 강서구 마곡중앙2로 15 테크노타워2 201호,37.5580725,126.8286803,,https://www.instagram.com/pasta_in_cafe/
백만그릇파스타,"이탈리아음식>스파게티,파스타전문",서울특별시 금천구 디지털로 207 2층,37.4790197,126.8891529,,
미태리 가산한라원앤원점,"이탈리아음식>스파게티,파스타전문",서울특별시 금천구 가산디지털2로 101 1층 126호,37.4769042,126.8793596,,https://mymitaly.com/
제임스키친,"이탈리아음식>스파게티,파스타전문",서울특별시 노원구 노해로81길 12-26 삼원빌딩 2층,37.6556124,127.0642272,,https://www.instagram.com/james._.kitchen
리에또,"이탈리아음식>스파게티,파스타전문",서울특별시 서초구 방배천로4안길 20,37.4790222,126.9834110,,
파스타마켓 혜화 본점,"이탈리아음식>스파게티,파스타전문",서울특별시 종로구 대학로11길 9-5 1층 파스타마켓,37.5820794,127.0012480,,https://www.instagram.com/Pasta_market
파스타브로 수유본점,"이탈리아음식>스파게티,파스타전문",서울특별시 강북구 노해로 59 1층,37.6409133,127.0222747,,https://www.instagram.com/pastabro_suyu
서양국시,"이탈리아음식>스파게티,파스타전문",서울특별시 도봉구 해등로 200-15 1층 서양국시,37.6589047,127.0345024,,https://app.catchtable.co.kr/ct/shop/seoyangguksi
성수온실 성수본점,"이탈리아음식>스파게티,파스타전문","서울특별시 성동구 왕십리로4길 26-14 2, 3층",37.5468762,127.0468653,,https://app.catchtable.co.kr/ct/shop/seongsu_onsil?from=share&type=WAITING
