이름,세부카테고리,주소,위도,경도,전화번호,링크
엄마손칼국수,"한식>칼국수,만두",서울특별시 노원구 상계로39길 5,37.6710346,127.0802625,,
응순가재골수제비,"한식>칼국수,만두",서울특별시 노원구 동일로242길 100,37.6744711,127.0606632,,
수돈재 공릉점,한식>감자탕,서울특별시 노원구 동일로192길 5,37.6260415,127.0735234,,
풍성진감자탕 본점,한식>감자탕,서울특별시 노원구 노해로83길 10-11,37.6559612,127.0650236,,
천하뼈다귀감자탕,한식>감자탕,서울특별시 노원구 동일로 1595,37.6708629,127.0558822,,
소문난감자탕해장국,한식>감자탕,서울특별시 노원구 덕릉로 694 1층소문난감자탕,37.6595920,127.0755630,,
신선설농탕 노원역점,"한식>곰탕,설렁탕",서울특별시 노원구 노해로 511 1층,37.6554480,127.0647158,,https://www.shinsunseolnongtang.co.kr
현풍화로참숯불구이,"한식>육류,고기요리",서울특별시 노원구 동일로 1367,37.6507487,127.0611250,,
삼덕식당,한식>돼지고기구이,서울특별시 노원구 상계로5길 9 1층,37.6570285,127.0639298,,https://blog.naver.com/3samduk
마포생고기,"한식>육류,고기요리",서울특별시 노원구 동일로190길 39 마포생고기,37.6259638,127.0753202,,
신의주찹쌀순대 중계브라운스톤점,"한식>순대,순댓국",서울특별시 노원구 동일로203가길 29 브라운스톤 중계,37.6398763,127.0644148,,http://www.bigsoondae.com/
남가네설악추어탕 상계점,한식>추어탕,서울특별시 노원구 수락산로 212,37.6708559,127.0552410,,http://mrgfood.kr
고기싸롱 도봉보건소사거리점,"한식>육류,고기요리",서울특별시 도봉구 도봉로 578 1층,37.6561590,127.0395189,,https://blog.naver.com/gogissalon
창신동매운족발,"한식>족발,보쌈",서울특별시 도봉구 도봉로110나길 34,37.6474906,127.0352476,,
족돈,"한식>족발,보쌈",서울특별시 도봉구 방학로10길 68,37.6647892,127.0348473,,
소문난순대국왕족발,"한식>족발,보쌈",서울특별시 도봉구 도당로13가길 28,37.6661866,127.0369011,,
춘하추동 칼국수 방학점,"한식>칼국수,만두","서울특별시 도봉구 마들로 657 1층 109호, 110호",37.6687163,127.0458613,,
도봉산두부,한식>두부요리,서울특별시 도봉구 도봉산길 73,37.6862628,127.0378845,,
뚝배기손칼국수,"한식>칼국수,만두",서울특별시 도봉구 도봉로 683 뚝배기손칼국수,37.6653755,127.0419439,,
더곱창37번가,"한식>곱창,막창,양",서울특별시 도봉구 도봉로152길 37 1층,37.6694640,127.0459340,,http://coconutz.kr/3120
삼오집,"한식>곱창,막창,양",서울특별시 도봉구 도봉로165길 4,37.6776024,127.0445910,,
대구형제막창 방학역점,"한식>육류,고기요리>곱창,막창,양",서울특별시 도봉구 도봉로152길 23 1층 대구형제막창,37.6694980,127.0451290,,
신의주찹쌀순대 창동역점,"한식>순대,순댓국",서울특별시 도봉구 노해로63다길 17,37.6536547,127.0462906,,http://www.bigsoondae.com/
순대실록 창동씨드큐브점,"한식>순대,순댓국",서울특별시 도봉구 마들로13길 61 1층 108-2호,37.6542727,127.0501139,,https://www.instagram.com/sundaesilrok/
소문난 순대국,"한식>순대,순댓국",서울특별시 도봉구 도봉산3길 56,37.6849146,127.0435770,,
골목순대국,"한식>순대,순댓국",서울특별시 도봉구 도봉로133길 41,37.6577890,127.0375242,,
설담재 창동본점,"한식>곰탕,설렁탕",서울특별시 도봉구 도봉로 562 1층 설담재 창동본점,37.6548301,127.0392393,,http://suldamjae.com/
살살녹소 방학점,한식>소고기구이,서울특별시 도봉구 도봉로 663-8,37.6637885,127.0418943,,
최고집칼국수,"한식>칼국수,만두",서울특별시 도봉구 방학로 286 1층 최고집칼국수,37.6630932,127.0206650,,
조마루감자탕 쌍문점,한식>감자탕,서울특별시 도봉구 도봉로 569 예일빌딩,37.6559158,127.0387139,,
