이름,세부카테고리,주소,위도,경도,전화번호,링크
프레퍼스 다이어트 푸드 신촌점,"도시락,컵밥>다이어트,샐러드",서울특별시 서대문구 명물길 4 1층 프레퍼스,37.5573032,126.9372694,,https://www.instagram.com/preppers.korea
프레퍼스 다이어트 푸드 노량진점,"도시락,컵밥>다이어트,샐러드",서울특별시 동작구 노량진로 152 1층,37.5134966,126.9427662,,https://www.instagram.com/preppers.korea/
프레퍼스 다이어트 푸드 신림본점,"도시락,컵밥>다이어트,샐러드","서울특별시 관악구 신림로 315 1층, 2층",37.4825151,126.9296979,,https://blog.naver.com/preppers_korea
프레퍼스 다이어트 푸드 구로디지털단지점,"도시락,컵밥>다이어트,샐러드",서울특별시 구로구 디지털로 300 지밸리비즈플라자 1층 104-1호,37.4852584,126.8966693,,http://prepperskorea.com
프레퍼스 다이어트 푸드 사당점,"도시락,컵밥>다이어트,샐러드",서울특별시 동작구 동작대로 43 1층,37.4802065,126.9815327,,http://prepperskorea.com
