이름,세부카테고리,주소,위도,경도,전화번호,링크
탐나종합어시장 시흥사거리점,"해물,생선요리>생선회",서울특별시 금천구 금하로 636 지상1층,37.4546439,126.9018104,,https://blog.naver.com/5tamna
먹자대게,"해물,생선요리>대게요리",서울특별시 양천구 목동서로 213,37.5279872,126.8705625,,https://www.instagram.com/mokdongcrab
탐나종합어시장 망우사거리점,"해물,생선요리>생선회",서울특별시 중랑구 망우로 426 1층 1호,37.5994616,127.0995374,,http://www.tamnafishmarket.co.kr/
동래복국가마솥추어탕 천호점,"해물,생선요리>복어요리",서울특별시 강동구 구천면로 304 일주빌딩 1층,37.5467980,127.1350501,,
군산오징어 본점,"해물,생선요리>오징어요리",서울특별시 송파구 삼학사로 101 군산오징어빌딩 1층 군산오징어 본점,37.5062622,127.0970391,,http://www.kuno1988.co.kr/
동래복국 종로 본점,"해물,생선요리>복어요리",서울특별시 종로구 종로 291,37.5717503,127.0101245,,
쭈꾸미달인2 노원점,"해물,생선요리>주꾸미요리",서울특별시 노원구 상계로5길 3 1층,37.6567825,127.0639669,,
명현만간장게장,"해물,생선요리>게요리",서울특별시 마포구 양화로 45 메세나폴리스 123호~129호,37.5508400,126.9141981,,https://blog.naver.com/fresh_korean_food
