이름,세부카테고리,주소,위도,경도,전화번호,링크
도우터 건대점,브런치카페,서울특별시 광진구 아차산로31길 40 1층,37.5426880,127.0701767,,https://app.catchtable.co.kr/ct/shop/daughter_cafe
와겐커피,브런치카페,서울특별시 도봉구 도봉로150마길 15,37.6667186,127.0450445,,
오이오 oio,브런치카페,서울특별시 도봉구 삼양로162길 51-7 1층,37.6577638,127.0165522,,https://www.instagram.com/oio_cafebar
어반플랜트 합정,브런치카페,서울특별시 마포구 독막로6길 35 어반플랜트 합정,37.5464712,126.9170914,,http://www.instagram.com/urbanplant_official/
우드멜로우,브런치카페,서울특별시 강동구 아리수로 243,37.5630641,127.1551201,,http://instagram.com/wood_mellow
아이엠베이글 공덕점,브런치카페,서울특별시 마포구 백범로 152 101동 1층,37.5446928,126.9482171,,https://smartstore.naver.com/iambagel
