이름,세부카테고리,주소,위도,경도,전화번호,링크
버거킹 하계점,양식>햄버거,서울특별시 노원구 노원로 236,37.6390218,127.0752582,,
버거킹 공릉역점,양식>햄버거,서울특별시 노원구 동일로 1085 샘병원빌딩,37.6267352,127.0721831,,
롯데리아 석계점,양식>햄버거,서울특별시 노원구 화랑로 325 우현빌딩,37.6148790,127.0641830,,http://www.lotteria.com/
버거킹 창동역점,양식>햄버거,서울특별시 도봉구 노해로 389 제일빌딩 1층,37.6526993,127.0513548,,
롯데리아 청량리역사점,양식>햄버거,서울특별시 동대문구 왕산로 214 청량리역사 3층,37.5804911,127.0485841,,https://www.lotteria.com/
버거킹 신설동역점,양식>햄버거,서울특별시 동대문구 보문로 6,37.5760883,127.0235747,,
맥도날드 한국외대점,양식>햄버거,서울특별시 동대문구 휘경로 15,37.5959217,127.0618555,,https://www.mcdonalds.co.kr/
KFC 한국외대,양식>햄버거,서울특별시 동대문구 이문로 114,37.5968326,127.0606636,,https://www.kfckorea.com/
버거킹 사당역점,양식>햄버거,서울특별시 동작구 동작대로 21,37.4785549,126.9814176,,
버거킹 신대방삼거리역점,양식>햄버거,서울특별시 동작구 상도로 83,37.4998876,126.9297849,,
맥도날드 중앙대점,양식>햄버거,"서울특별시 동작구 흑석로 84 다길 14,",37.5061869,126.9588549,,https://www.mcdonalds.co.kr/
맥도날드 망원점,양식>햄버거,서울특별시 마포구 월드컵로 81,37.5560917,126.9097966,,https://www.mcdonalds.co.kr/
버거킹 공덕역점,양식>햄버거,서울특별시 마포구 마포대로 144 태영빌딩,37.5471190,126.9537182,,
맥도날드 공덕점,양식>햄버거,서울특별시 마포구 마포대로 55-1 마포트라팰리스 1층,37.5410909,126.9470909,,https://www.mcdonalds.co.kr/
맥도날드 홍제역점,양식>햄버거,서울특별시 서대문구 통일로 442-1,37.5886520,126.9446547,,https://www.mcdonalds.co.kr/
버거킹 홍제역점,양식>햄버거,서울특별시 서대문구 통일로 464 홍제빌딩,37.5900334,126.9430725,,http://www.burgerking.co.kr
KFC 명지대,양식>햄버거,서울특별시 서대문구 거북골로 53,37.5782996,126.9223494,,https://www.kfckorea.com/
버거킹 가재울뉴타운점,양식>햄버거,서울특별시 서대문구 수색로 56 성공타워1,37.5707166,126.9127153,,
쉐이크쉑 센트럴시티점,양식>햄버거,서울특별시 서초구 신반포로 176 반포 센트럴시티 빌딩 1층 119호,37.5044941,127.0048021,,http://www.shakeshack.kr/
맥도날드 양재SK DT점,양식>햄버거,서울특별시 서초구 바우뫼로 178 양재주유소,37.4781288,127.0395803,,https://www.mcdonalds.co.kr/
맥도날드 양재점,양식>햄버거,서울특별시 서초구 강남대로 213 엘타워 1층,37.4822769,127.0357656,,https://www.mcdonalds.co.kr/
롯데리아 답십리점,양식>햄버거,서울특별시 성동구 천호대로 308 인암빌딩 1층,37.5653064,127.0542731,,https://www.lotteria.com/
버거킹 안암오거리점,양식>햄버거,서울특별시 성북구 안암로 73,37.5830684,127.0291714,,http://www.burgerking.co.kr/
맥도날드 종암SK DT점,양식>햄버거,서울특별시 성북구 종암로 58,37.5957573,127.0359024,,https://www.mcdonalds.co.kr/
버거킹 종암점,양식>햄버거,서울특별시 성북구 종암로 123,37.6009122,127.0332911,,
맥도날드 송파잠실DT점,양식>햄버거,서울특별시 송파구 도곡로 434,37.5043739,127.0769824,,https://www.mcdonalds.co.kr/
맥도날드 신월DT점,양식>햄버거,서울특별시 양천구 남부순환로 404 맥도날드 신월DT,37.5314284,126.8308883,,https://www.mcdonalds.co.kr/
버거킹 신월점,양식>햄버거,서울특별시 양천구 화곡로 64,37.5391621,126.8291244,,
KFC 당산역점,양식>햄버거,서울특별시 영등포구 양평로 46,37.5344162,126.9016919,,https://www.kfckorea.com/
맥도날드 보라매점,양식>햄버거,서울특별시 영등포구 여의대방로 145 세인트빌딩,37.5003141,126.9201473,,https://www.mcdonalds.co.kr/
버거킹 신길점,양식>햄버거,서울특별시 영등포구 도신로 237,37.5126276,126.9171719,,
맥도날드 양평SK DT점,양식>햄버거,서울특별시 영등포구 선유로 195,37.5309017,126.8934671,,https://www.mcdonalds.co.kr/
버거킹 양평점,양식>햄버거,서울특별시 영등포구 선유로 130,37.5255871,126.8912137,,
맥도날드 이태원점,양식>햄버거,서울특별시 용산구 이태원로 142-1,37.5340320,126.9897092,,https://www.mcdonalds.co.kr/
롯데리아 서울역사점,양식>햄버거,서울특별시 용산구 한강대로 405 109호,37.5542332,126.9705947,,https://www.lotteria.com/
버거킹 서울역점,양식>햄버거,서울특별시 용산구 한강대로 405 2층,37.5542603,126.9703780,,http://www.burgerking.co.kr/
쉐이크쉑 용산 아이파크몰점,양식>햄버거,서울특별시 용산구 한강대로23길 55 아이파크몰 1층,37.5296697,126.9661094,,http://www.shakeshack.kr/
KFC 응암점,양식>햄버거,서울특별시 은평구 은평로 127,37.6005792,126.9219741,,https://www.kfckorea.com/
버거킹 불광점,양식>햄버거,서울특별시 은평구 통일로 750,37.6124870,126.9284954,,
버거킹 박석고개SK점,양식>햄버거,서울특별시 은평구 통일로 945,37.6272909,126.9194208,,
KFC 연신내역점,양식>햄버거,서울특별시 은평구 연서로 226-1,37.6184273,126.9205579,,https://www.kfckorea.com/
버거킹 녹번대성GS점,양식>햄버거,서울특별시 은평구 통일로 642,37.6039966,126.9351428,,
맥도날드 서울동묘역점,양식>햄버거,서울특별시 종로구 종로 339,37.5731204,127.0151495,,https://www.mcdonalds.co.kr/
맥도날드 서울시청점,양식>햄버거,서울특별시 중구 남대문로9길 51 효덕빌딩,37.5668620,126.9793605,,https://www.mcdonalds.co.kr/
쉐이크쉑 두타점,양식>햄버거,서울특별시 중구 장충단로 275 (을지로6가) 1층,37.5690812,127.0091145,,http://www.shakeshack.kr/
버거킹 회현역점,양식>햄버거,서울특별시 중구 퇴계로 52 보코호텔 1층,37.5586012,126.9786308,,
맘스터치 서울시청점,양식>햄버거,서울특별시 중구 무교로 12 2층,37.5670285,126.9793750,,https://momstouch.co.kr
바스버거 광화문점,양식>햄버거,서울특별시 중구 다동길 5 광일빌딩 지하1층,37.5681229,126.9797080,,http://www.basburger.net
버거킹 면목역점,양식>햄버거,서울특별시 중랑구 겸재로 180,37.5882767,127.0880004,,
롯데리아 면목중앙점,양식>햄버거,서울특별시 중랑구 면목로 415 롯데리아,37.5890733,127.0872432,,https://www.lotteria.com/
롯데리아 사가정역점,양식>햄버거,서울특별시 중랑구 면목로 333 조희중산부인과의원,37.5817916,127.0884750,,https://www.lotteria.com/
롯데리아 중화역점,양식>햄버거,서울특별시 중랑구 동일로 802,37.6019791,127.0796816,,https://www.lotteria.com/
버거킹 먹골역점,양식>햄버거,서울특별시 중랑구 동일로 890,37.6099314,127.0781691,,
버거킹 망우점,양식>햄버거,서울특별시 중랑구 망우로 400,37.5987994,127.0966425,,
KFC망우동점,양식>햄버거,서울특별시 중랑구 망우로 410,37.5990136,127.0974989,,https://www.kfckorea.com/
맥도날드 신내점,양식>햄버거,서울특별시 중랑구 봉화산로 194 신아타운,37.6065973,127.0950273,,https://www.mcdonalds.co.kr/
마초쉐프 강남본점,양식>이탈리아음식,서울특별시 강남구 강남대로106길 29 1층,37.5034081,127.0278735,,https://www.machochef.kr/
바비레드 강남본점,양식>이탈리아음식,서울특별시 강남구 봉은사로6길 39 바비레드,37.5026625,127.0278787,,https://blog.naver.com/bobired_
쉐이크쉑 청담점,양식>햄버거,서울특별시 강남구 도산대로 327 (신사동) 1층,37.5230778,127.0376109,,http://www.shakeshack.kr/
롯데리아 길동점,양식>햄버거,서울특별시 강동구 천호대로 1124 1층 롯데리아,37.5343674,127.1363070,,https://www.lotteria.com/
KFC 천호역,양식>햄버거,서울특별시 강동구 천호옛길 88 G-lite빌딩 1층,37.5364019,127.1257120,,https://www.kfckorea.com/
KFC 명일DI점,양식>햄버거,서울특별시 강동구 양재대로 1651,37.5529415,127.1439250,,https://www.kfckorea.com/
버거킹 강동구청점,양식>햄버거,서울특별시 강동구 성내로 22,37.5295993,127.1229085,,
맘스터치 미아사거리역점,양식>햄버거,서울특별시 강북구 도봉로10길 26,37.6137775,127.0309771,,https://momstouch.co.kr
롯데리아 수유역점,양식>햄버거,서울특별시 강북구 도봉로 323 용신빌딩 1층,37.6370820,127.0243376,,https://www.lotteria.com/
롯데리아 까치산역점,양식>햄버거,서울특별시 강서구 강서로 35 롯데리아,37.5308973,126.8470070,,https://www.lotteria.com/
롯데리아 화곡역점,양식>햄버거,서울특별시 강서구 화곡로 157 1층 롯데리아,37.5415206,126.8392612,,https://www.lotteria.com/
KFC 발산역,양식>햄버거,서울특별시 강서구 공항대로 271,37.5588604,126.8377723,,https://www.kfckorea.com/
닥터로빈 강서점,양식>이탈리아음식,서울특별시 강서구 공항대로 396 귀뚜라미보일러사옥빌딩 1층,37.5558415,126.8511632,,https://drrobbin.com/
버거킹 마곡점,양식>햄버거,서울특별시 강서구 마곡동로 56,37.5601633,126.8338761,,
맥도날드 염창DT점,양식>햄버거,서울특별시 강서구 공항대로71길 3,37.5476535,126.8715925,,http://www.mcdonalds.co.kr/
맥도날드 신림점,양식>햄버거,서울특별시 관악구 신림로 310,37.4820102,126.9301532,,https://www.mcdonalds.co.kr/
롯데리아 신림역점,양식>햄버거,서울특별시 관악구 남부순환로 1610,37.4838843,126.9293262,,https://www.lotteria.com/
롯데리아 구로디지털역점,양식>햄버거,서울특별시 관악구 시흥대로 578,37.4842866,126.9030519,,https://www.lotteria.com/
KFC 신림역,양식>햄버거,서울특별시 관악구 신림로 318,37.4823751,126.9301424,,https://www.kfckorea.com/
버거킹 서울대입구역점,양식>햄버거,서울특별시 관악구 남부순환로 1796,37.4813701,126.9497027,,
버거킹 낙성대점,양식>햄버거,서울특별시 관악구 남부순환로 1934 낙성대빌딩,37.4767066,126.9637753,,
롯데리아 건대스타시티점,양식>햄버거,서울특별시 광진구 아차산로 262 더샵스타시티 C동,37.5388894,127.0726820,,https://www.lotteria.com/
KFC 세종대점,양식>햄버거,"서울특별시 광진구 광나루로 396 1층, 2층",37.5472239,127.0735579,,https://www.kfckorea.com/
롯데리아 구의역점,양식>햄버거,서울특별시 광진구 아차산로 370 1층,37.5364857,127.0841062,,https://www.lotteria.com/
버거킹 건대입구역점,양식>햄버거,서울특별시 광진구 아차산로 229,37.5406612,127.0692397,,
맥도날드 구로디지털점,양식>햄버거,서울특별시 구로구 디지털로31길 12 태평양물산,37.4850733,126.8949525,,https://www.mcdonalds.co.kr/
KFC 구로디지털2,양식>햄버거,서울특별시 구로구 디지털로 300 지밸리비즈플라자,37.4854475,126.8964226,,https://www.kfckorea.com/
맥도날드 가산비지니스센터점,양식>햄버거,서울특별시 금천구 가산디지털1로 165 가산비지니스센터,37.4802069,126.8812680,,https://www.mcdonalds.co.kr/
KFC 가산디지털,양식>햄버거,서울특별시 금천구 가산디지털1로 186 제이플라츠빌딩 1층,37.4815746,126.8814721,,https://www.kfckorea.com/
더제이케이키친박스 가산디지털점,양식>이탈리아음식,서울특별시 금천구 가산디지털1로 145 에이스하이엔드타워3 1층 111호,37.4781927,126.8816062,,https://instagram.com/gadi_kitchenbox_?igshid=8cp4acwh0zu7
매드포갈릭 현대시티아울렛가산점,양식>이탈리아음식,서울특별시 금천구 디지털로10길 9 현대시티아울렛 8층,37.4779046,126.8892647,,http://www.madforgarlic.com/
버거킹 가산이앤씨7점,양식>햄버거,서울특별시 금천구 디지털로9길 46 이앤씨드림타워7차 1층 101호,37.4800624,126.8868455,,
버거킹 노원역점,양식>햄버거,서울특별시 노원구 노해로 456 동방빌딩 1층,37.6536300,127.0586889,,
KFC 노원역,양식>햄버거,서울특별시 노원구 동일로 1401,37.6535715,127.0605137,,https://www.kfckorea.com/
롯데리아 노원역점,양식>햄버거,서울특별시 노원구 상계로 64,37.6558663,127.0622508,,https://www.lotteria.com/
KFC 중계은행사거리,양식>햄버거,서울특별시 노원구 한글비석로 227 이진빌딩 1층,37.6478464,127.0763035,,https://www.kfckorea.com/
맥도날드 상계DT점,양식>햄버거,서울특별시 노원구 동일로 1612,37.6724468,127.0561762,,https://www.mcdonalds.co.kr/
맥도날드 중계역점,양식>햄버거,서울특별시 노원구 동일로 1341 장우빌딩,37.6483087,127.0621893,,https://www.mcdonalds.co.kr/
맘스터치 쌍문점,양식>햄버거,서울특별시 도봉구 도봉로 496,37.6497656,127.0357033,,https://momstouch.co.kr
롯데리아 창동역점,양식>햄버거,서울특별시 도봉구 노해로63길 78,37.6524220,127.0463680,,https://www.lotteria.com/
롯데리아 쌍문역점,양식>햄버거,서울특별시 도봉구 도봉로 484,37.6486060,127.0350390,,https://www.lotteria.com/
롯데리아 장안사거리점,양식>햄버거,서울특별시 동대문구 답십리로 287,37.5726956,127.0722354,,https://www.lotteria.com/
맥도날드 장안사거리점,양식>햄버거,서울특별시 동대문구 답십리로 291-1,37.5724688,127.0726379,,https://www.mcdonalds.co.kr/
맥도날드 이수점,양식>햄버거,서울특별시 동작구 사당로 300 이수자이,37.4846744,126.9806912,,https://www.mcdonalds.co.kr/
롯데리아 노량진점,양식>햄버거,서울특별시 동작구 장승배기로 171 아이비빌딩 1층,37.5129612,126.9399843,,https://www.lotteria.com/
KFC 보라매점,양식>햄버거,서울특별시 동작구 보라매로5가길 7,37.4917809,126.9248846,,https://www.kfckorea.com/
롯데리아 보라매타운점,양식>햄버거,서울특별시 동작구 보라매로5길 35 103호,37.4919807,126.9236057,,https://www.lotteria.com/
놉스 사당점,"양식>스테이크,립",서울특별시 동작구 동작대로5길 8 1층,37.4791436,126.9810062,,https://app.catchtable.co.kr/ct/shop/nopstax
롯데리아 서대문역점,양식>햄버거,서울특별시 서대문구 통일로 127,37.5658034,126.9660669,,https://www.lotteria.com/
KFC 신촌역,양식>햄버거,서울특별시 서대문구 신촌로 79,37.5559628,126.9351720,,https://www.kfckorea.com/
버거킹 연세로점,양식>햄버거,서울특별시 서대문구 연세로 25,37.5578766,126.9367478,,http://www.burgerking.co.kr/
맥도날드 연세대점,양식>햄버거,서울특별시 서대문구 연세로 33,37.5585709,126.9367678,,https://www.mcdonalds.co.kr/
버거킹 반포고속터미널점,양식>햄버거,서울특별시 서초구 신반포로 194 서울고속버스터미널 1층 39호,37.5059883,127.0066451,,
KFC 왕십리역사,양식>햄버거,서울특별시 성동구 왕십리광장로 17,37.5609063,127.0383312,,https://www.kfckorea.com/
버거킹 왕십리센트라스점,양식>햄버거,서울특별시 성동구 왕십리로 410,37.5646840,127.0293027,,
버거킹 성신여대입구역점,양식>햄버거,서울특별시 성북구 동소문로 120,37.5935318,127.0182744,,
롯데리아 성신여대점,양식>햄버거,서울특별시 성북구 동소문로 117 1층,37.5936736,127.0177874,,http://www.lotteria.com/
KFC 돈암동1점,양식>햄버거,서울특별시 성북구 동소문로20나길 18,37.5921398,127.0176645,,https://www.kfckorea.com/
버거킹 석관점,양식>햄버거,서울특별시 성북구 돌곶이로 50 상희빌딩 1~2층,37.6086167,127.0595782,,
맥도날드 잠실역점,양식>햄버거,서울특별시 송파구 송파대로 558 월드타워빌딩,37.5149853,127.0993431,,https://www.mcdonalds.co.kr/
맥도날드 석촌역점,양식>햄버거,서울특별시 송파구 백제고분로 390,37.5060610,127.1091450,,https://www.mcdonalds.co.kr/
버거킹 염창역점,양식>햄버거,서울특별시 양천구 공항대로 630,37.5466423,126.8746583,,
버거킹 신정네거리역점,양식>햄버거,서울특별시 양천구 중앙로 275,37.5208054,126.8522906,,
롯데리아 신곡시장점,양식>햄버거,서울특별시 양천구 신월로 177 롯데리아신곡시장점,37.5189680,126.8427592,,https://www.lotteria.com/
KFC 신정네거리점,양식>햄버거,서울특별시 양천구 중앙로 277,37.5209203,126.8523195,,https://www.kfckorea.com/
닥터로빈 목동점,양식>이탈리아음식,서울특별시 양천구 오목로 299 목동트라팰리스 1층,37.5255585,126.8700169,,https://drrobbin.com/
맥도날드 여의도점,양식>햄버거,서울특별시 영등포구 국제금융로 10 L3 North Atrium,37.5258010,126.9259385,,https://www.mcdonalds.co.kr/
롯데리아 영등포역사점,양식>햄버거,서울특별시 영등포구 경인로 846 롯데백화점 영등포점 3층,37.5155480,126.9073006,,https://www.lotteria.com/
롯데리아 영등포타임스퀘어B2점,양식>햄버거,서울특별시 영등포구 영중로 15 타임스퀘어 B2 B209,37.5173101,126.9028992,,https://www.lotteria.com/
더플레이스 영등포 타임스퀘어점,양식>이탈리아음식,서울특별시 영등포구 영중로 15 타임스퀘어 1층,37.5168993,126.9024065,,https://www.instagram.com/theplace_official/
매드포갈릭 영등포타임스퀘어점,양식>이탈리아음식,서울특별시 영등포구 영중로 15 타임스퀘어 4F 402,37.5173863,126.9028110,,http://www.madforgarlic.com/
닥터로빈 신세계타임스퀘어점,양식>이탈리아음식,서울특별시 영등포구 영중로 9 신세계타임스퀘어 백화점 패션관 9층 닥터로빈,37.5178407,126.9052982,,https://drrobbin.com/
맥도날드 영등포점,양식>햄버거,서울특별시 영등포구 경인로 855,37.5169562,126.9076597,,https://www.mcdonalds.co.kr/
버거킹 용산이마트점,양식>햄버거,서울특별시 용산구 한강대로23길 55 용산이마트 지하2층,37.5294592,126.9655278,,http://www.burgerking.co.kr/
맥도날드 구산점,양식>햄버거,서울특별시 은평구 연서로 131 홍천빌딩,37.6105980,126.9167472,,https://www.mcdonalds.co.kr/
롯데리아 구파발역점,양식>햄버거,서울특별시 은평구 진관동 68-35,37.6380295,126.9190256,,https://www.lotteria.com/
롯데리아 구산역점,양식>햄버거,서울특별시 은평구 연서로 130,37.6102751,126.9171433,,https://www.lotteria.com/
쉐이크쉑 종각점,양식>햄버거,서울특별시 종로구 종로 33 그랑서울 1층,37.5704394,126.9815218,,http://www.shakeshack.kr/
닥터로빈 광화문점,양식>이탈리아음식,서울특별시 종로구 종로3길 17 D-타워 5층,37.5710184,126.9789694,,https://drrobbin.com/
버거킹 종로구청점,양식>햄버거,서울특별시 종로구 삼봉로 57 호수빌딩,37.5725008,126.9805288,,http://www.burgerking.co.kr/
버거킹 종로점,양식>햄버거,서울특별시 종로구 종로 94,37.5699586,126.9881077,,http://www.burgerking.co.kr/
맥도날드 명동점,양식>햄버거,서울특별시 중구 명동7길 8,37.5641571,126.9845147,,https://www.mcdonalds.co.kr/
롯데리아 소공2호점,양식>햄버거,"서울특별시 중구 을지로 30 을지로입구역7,8번출구방면(롯데백화점 들어가서 우측)",37.5658028,126.9821087,,https://www.lotteria.com/
명동피자 명동본점,양식>피자,서울특별시 중구 명동10길 41 4층,37.5620569,126.9858727,,https://app.catchtable.co.kr/ct/shop/mdpizzamd
버거킹 약수역점,양식>햄버거,서울특별시 중구 다산로 142,37.5562791,127.0116938,,
롯데리아 홈플러스상봉점,양식>햄버거,서울특별시 중랑구 망우로 353 홈플러스상봉점 1F,37.5978979,127.0900420,,https://www.lotteria.com/
