이름,세부카테고리,주소,위도,경도,전화번호,링크
베이글리스트,"음식점>카페,디저트",서울특별시 강서구 마곡동로 55 마커스빌딩 102호,37.5598697,126.8331102,,https://noti.tabling.co.kr/link/point?path=restaurant_details&restaurant_idx=9066
빵쌤 마곡점,"음식점>카페,디저트>베이커리","서울특별시 강서구 마곡중앙로 59-5 마곡595빌딩 1, 2층",37.5589451,126.8259104,,http://www.0ssaem.com/
옥된장 마곡점,음식점>한식,서울특별시 강서구 마곡동로 62,37.5604676,126.8337841,,https://youtube.com/@옥된장/featured
용용선생 마곡점,음식점>술집>요리주점,서울특별시 강서구 마곡중앙6로 69 1층,37.5602822,126.8350467,,https://www.instagram.com/yongyong_makok/
모로미 강서구청점,음식점>일식당,서울특별시 강서구 화곡로58길 22-3 2층,37.5527432,126.8522221,,https://www.instagram.com/moromi_gangseo
서울 오마카세 우미마토 마곡본점,음식점>일식>일식당,서울특별시 강서구 공항대로 219 센테니아 114호,37.5594735,126.8323103,,https://catchtable.co.kr/umimato
상무초밥 등촌점,"음식점>일식>초밥,롤","서울특별시 강서구 공항대로 525 1층 102-1호, 102-2호",37.5513131,126.8649242,,http://sangmusushi.kr/
이현우스시,"음식점>일식>초밥,롤",서울특별시 강서구 강서로33길 26,37.5418018,126.8383858,,
로봇김밥 김포공항점,음식점>분식,서울특별시 강서구 하늘길 111 김포공항 국내선청사 4층 식당가 로봇김밥,37.5598962,126.8040545,,
오공김밥 등촌점,음식점>분식,서울특별시 강서구 공항대로41길 76 . 1층 104호,37.5610321,126.8468187,,https://www.50gimbab.co.kr
플레이보6 익스프레스 김포공항점,"음식점>카페,디저트",서울특별시 강서구 하늘길 112 김포공항 국내선 3층,37.5588174,126.8028479,,
어나더사이드,"음식점>카페,디저트",서울특별시 강서구 강서로 318 1층 카페 어나더사이드,37.5541156,126.8370703,,https://www.instagram.com/anotherside_coffee/
에머이 마곡나루점,음식점>베트남음식,서울특별시 강서구 마곡서로 152 두산더랜드타워 B동 1층 108-109호,37.5677262,126.8261182,,https://www.instagram.com/emoi__magoknaru
로마옥 마곡,음식점>양식,서울특별시 강서구 마곡중앙로 136 LG아트센터서울 3층 로마옥,37.5648409,126.8292275,,https://litt.ly/romaok
쥬벤쿠바,"음식점>스테이크,립",서울특별시 관악구 관악로14나길 10 1층,37.4777022,126.9573528,,https://www.instagram.com/juvencuba
동경산책 서울대입구점,음식점>일식>일식당,서울특별시 관악구 관악로14길 30 2층,37.4789029,126.9542000,,http://www.instagram.com/d.k.sancheck
백소정 신림점,음식점>일식>일식당,서울특별시 관악구 신원로 38 2층,37.4819942,126.9293993,,https://baeksojeong.com/
상무초밥 서울대입구역점,"음식점>일식>초밥,롤","서울특별시 관악구 관악로 168 1층 109, 110호",37.4801768,126.9530996,,
은행골 본점신관,"음식점>일식>초밥,롤",서울특별시 관악구 조원로 10-1,37.4833197,126.9035064,,
서울초밥,"음식점>일식>초밥,롤",서울특별시 관악구 신림동7길 15 1층,37.4863359,126.9263977,,https://www.instagram.com/
오공김밥 봉천점,음식점>분식,서울특별시 관악구 은천로 101 1층,37.4870654,126.9465624,,https://www.50gimbab.co.kr
싸다김밥 낙성대역점,음식점>분식,서울특별시 관악구 남부순환로 1939 1층 싸다김밥 낙성대역점,37.4768276,126.9648464,,https://ssadagb.com
스테이크하우스 로아,음식점>양식,서울특별시 관악구 봉천로62길 7 2층,37.4776631,126.9589582,,https://app.catchtable.co.kr/ct/shop/steak_house_roah
사생활,음식점>패밀리레스토랑,서울특별시 관악구 신사로14길 19 지하1층,37.4878028,126.9165271,,https://www.instagram.com/theprivatelife__sillim/
모힝 비스트로,음식점>이탈리아음식,서울특별시 관악구 남부순환로226길 36 2층,37.4790924,126.9535237,,https://blog.naver.com/mohing2012
작은따옴표 도림천점,"음식점>카페,디저트",서울특별시 관악구 관천로 36-1 2층 작은따옴표 도림천점,37.4832052,126.9275859,,https://app.catchtable.co.kr/ct/shop/singlemarks
카페달달스콘,"음식점>카페,디저트",서울특별시 관악구 조원로 129 1층,37.4854993,126.9166491,,
로니로티 건대점,음식점>이탈리아음식,서울특별시 광진구 아차산로 225 단산화빌딩,37.5409583,127.0684707,,https://blog.naver.com/lottiekun
오마카세 오사이초밥 건대본점,"음식점>일식>초밥,롤",서울특별시 광진구 군자로 14 1층,37.5446716,127.0715485,,http://sushi542.co.kr/
고베규카츠 건대점,음식점>일식>돈가스,서울특별시 광진구 아차산로33길 64,37.5429844,127.0711922,,https://www.instagram.com/kobekyu
라화쿵부 건대점,음식점>중식당,서울특별시 광진구 아차산로30길 42 1층,37.5390545,127.0669690,,https://blog.naver.com/lhkungfu
투또톤토,"음식점>카페,디저트",서울특별시 광진구 능동로 125 1층 투또톤토,37.5421290,127.0714334,,https://app.catchtable.co.kr/ct/shop/tuttotonto?from=share&type=WAITING
성수완당,음식점>한식,서울특별시 광진구 아차산로26길 13 1층,37.5406813,127.0661688,,https://www.instagram.com/seongsu.wandang
청와옥 군자역직영점,"음식점>한식>육류,고기요리>순대,순댓국",서울특별시 광진구 천호대로 562,37.5565019,127.0804536,,https://www.instagram.com/cheongwaok/
뇌산마을 건대직영점,음식점>한식,서울특별시 광진구 아차산로33길 34 지층,37.5417186,127.0706156,,https://catchtable.co.kr/noesanmaeul_geondae
이찌방이야기 본점,음식점>술집>이자카야,서울특별시 광진구 동일로22길 57 1층,37.5417389,127.0674549,,https://noti.tabling.co.kr/link/point?path=restaurant_details&restaurant_idx=3707
호야초밥참치 본점,"음식점>일식>초밥,롤",서울특별시 광진구 능동로13길 39 1층,37.5434686,127.0701571,,
이이요,음식점>일식>일식당,서울특별시 광진구 능동로32길 6,37.5552102,127.0789289,,
환원당,"음식점>카페,디저트",서울특별시 광진구 능동로 166,37.5452917,127.0735129,,https://www.instagram.com/hwan_won_dang
탄토탄토,음식점>이탈리아음식,서울특별시 광진구 아차산로33길 49 2층,37.5425095,127.0707414,,https://www.instagram.com/tantotanto_ku
37.5 광진점,음식점>양식,서울특별시 광진구 아차산로76가길 5 1층,37.5472313,127.1076278,,http://www.cafe375.com
