이름,세부카테고리,주소,위도,경도,전화번호,링크
한사발포차 신도림점,술집>요리주점,서울특별시 구로구 새말로18길 28 1층,37.5054545,126.8926230,,https://www.instagram.com/hansabal_sindorim
닭장맥주 구로디지털단지점,술집>요리주점,서울특별시 구로구 시흥대로 565 모나미빌딩 1층,37.4835319,126.9015847,,https://www.instagram.com/dackjangmacju_official/
주궁,술집>요리주점,서울특별시 구로구 경인로47길 22,37.5005231,126.8667171,,https://www.instagram.com/jugung2015/
텐마루,술집>이자카야,서울특별시 금천구 디지털로12길 21 2층,37.4777423,126.8898416,,
위자네 독산점,술집>이자카야,서울특별시 금천구 범안로 1246 1층 위자네 독산점,37.4663568,126.9002563,,https://www.instagram.com/weeja_doksan
꽃히다,술집>이자카야,서울특별시 금천구 가산디지털1로 168 우림라이온스밸리 A동 2층 221호,37.4808364,126.8821248,,https://www.instagram.com/izakayaggochida
술속의밤 가산점,술집>요리주점,서울특별시 금천구 디지털로9길 99 127호 술속의밤 가산점,37.4816671,126.8848599,,
미미스낵,술집>요리주점,서울특별시 노원구 노해로81길 16 2층,37.6555428,127.0628254,,https://www.instagram.com/mimi_nowon
당나발포차 노원점,술집>요리주점,서울특별시 노원구 노해로81길 12-15 2층,37.6557495,127.0630951,,https://dangnabal.com/
부산어묵,"술집>오뎅,꼬치",서울특별시 도봉구 도봉로 964-40,37.6891205,127.0465288,,
육회바른연어 쌍문점,술집>요리주점,서울특별시 도봉구 도봉로110나길 27 1층 101호,37.6474053,127.0349630,,https://yby.co.kr
방학동포차마을,술집>포장마차,서울특별시 도봉구 방학로17길 6 방학동포차마을,37.6618084,127.0228200,,https://www.instagram.com/pochavillage
육회바른연어 경희대점,술집>요리주점,서울특별시 동대문구 경희대로3길 5 1층 육회바른연어,37.5926212,127.0521171,,https://www.instagram.com/yby_official_/
호텔글로리 회기본점,술집>요리주점,서울특별시 동대문구 경희대로1길 9 2층 호텔글로리 회기본점,37.5916410,127.0515942,,https://app.catchtable.co.kr/ct/shop/hotelglory
몽월 장안본점,술집>요리주점,서울특별시 동대문구 천호대로83길 3 10층,37.5625436,127.0641423,,https://www.instagram.com/mong_weol
전주전집,"술집>전통,민속주점",서울특별시 동작구 동작대로7길 19,37.4796493,126.9806116,,
윤공 Korean Bistro,술집>요리주점,서울특별시 동작구 사당로30길 158 1층,37.4778694,126.9806109,,https://www.instagram.com/yoongong_sadang
카쿠시타,술집>이자카야,서울특별시 마포구 동교로38길 33-15 지하1층,37.5618788,126.9261158,,http://www.instagram.com/kakusita_izakaya
떡볶이상회,술집>요리주점,서울특별시 마포구 어울마당로 143-3 1층,37.5566160,126.9256421,,https://instagram.com/tteoksang_?igshid=YmMyMTA2M2Y=
육회바른연어 홍대점,술집>요리주점,서울특별시 서대문구 신촌로 21 1층,37.5580276,126.9293216,,https://yby.co.kr
청담동포장마차 신촌본점,술집>요리주점,서울특별시 서대문구 연세로4길 25 1층 청담동포장마차,37.5574728,126.9380859,,https://app.catchtable.co.kr/ct/shop/CheongdamPojangmacha
철길부산집 신촌점,술집>요리주점,서울특별시 서대문구 연세로7안길 10-3 1층,37.5582473,126.9362462,,https://www.instagram.com/busanjip_sinchon
홍제상회,술집>요리주점,서울특별시 서대문구 세무서길 67 1층,37.5909638,126.9464261,,https://www.instagram.com/hongje_store
혼신꼬치 신촌점,술집>요리주점,서울특별시 서대문구 연세로7안길 1 1층,37.5577605,126.9362352,,https://www.instagram.com/honsin_kkochi
강남77,술집>요리주점,서울특별시 서초구 서초대로77길 31,37.5005745,127.0253385,,http://www.instagram.com/77_pocha
플랫나인,술집>요리주점,서울특별시 서초구 강남대로65길 10 5층,37.5005009,127.0249641,,https://catchtable.co.kr/flatnine_jazzbar
데블스도어 센트럴시티점,"술집>맥주,호프",서울특별시 서초구 사평대로 205 데블스도어,37.5050013,127.0091359,,https://www.instagram.com/devilsdoor.official/
육회바른연어 왕십리점,술집>요리주점,서울특별시 성동구 왕십리로 287-1 1층 육회바른연어,37.5599279,127.0362471,,https://yby.co.kr
현심야식당 성수점,술집>이자카야,서울특별시 성동구 왕십리로4길 24-7 지1층,37.5468548,127.0466525,,https://app.catchtable.co.kr/ct/shop/hyunsimya
다이닝 목로 성수점,술집>요리주점,서울특별시 성동구 연무장7가길 1 1층,37.5432182,127.0547652,,https://www.instagram.com/mokroe_official
연꽃치 성신여대점,술집>요리주점,서울특별시 성북구 동소문로20길 37-11 1층,37.5910602,127.0173942,,https://catchtable.co.kr/yeonggot_sungshin
온오프 성신여대본점,술집>요리주점,서울특별시 성북구 동소문로22길 56-1 1층 ON OFF,37.5905970,127.0185044,,
비스트로홈,술집>요리주점,서울특별시 성북구 동소문로22길 25 2층,37.5918943,127.0180787,,https://app.catchtable.co.kr/ct/shop/bistrohome_
사사노하,술집>이자카야,서울특별시 송파구 백제고분로42길 4-13 101호,37.5055304,127.1088132,,https://catchtable.co.kr/sasanohah
7번방 방이점,술집>요리주점,서울특별시 송파구 오금로11길 21 3층 1호,37.5150223,127.1095007,,https://www.instagram.com/global7room_bi/
이태리양조장 잠실본점,"술집>맥주,호프",서울특별시 송파구 백제고분로7길 27 1층,37.5108216,127.0819086,,http://www.italyyjj.com/
단토리 오목교역점,술집>요리주점,서울특별시 양천구 오목로 354 101동 1층 단토리 오목교역점,37.5240444,126.8766728,,
하나마토 당산역,술집>요리주점,"서울특별시 영등포구 양평로 51 1, 2층",37.5342591,126.9008275,,
양키통닭 본점,"술집>맥주,호프",서울특별시 영등포구 도림로139길 13,37.5136705,126.8927692,,
미토,술집>이자카야,"서울특별시 용산구 한강대로42길 7 용리단길맛집 미토는 1, 2, 3층으로 운영중입니다.",37.5307808,126.9701417,,https://app.catchtable.co.kr/ct/shop/mito
닌니쿠요코초 신용산본점,술집>요리주점,"서울특별시 용산구 한강대로52길 34 101호, 102호",37.5315430,126.9727461,,https://app.catchtable.co.kr/ct/shop/ninniku_yokocho
주도락 신용산본점,술집>요리주점,서울특별시 용산구 한강대로46길 19 1층,37.5310822,126.9713252,,https://app.catchtable.co.kr/ct/shop/JUDORAK_judorak
이진칸,술집>이자카야,서울특별시 용산구 보광로 124 3층 이진칸,37.5338340,126.9942978,,https://catchtable.co.kr/ijinkan_itaewon
이태원 주식,술집>요리주점,서울특별시 용산구 녹사평대로32길 36,37.5331825,126.9904414,,https://app.catchtable.co.kr/ct/shop/jusik_itaewon?from=share&type=VISIT_RESERVATION
어항로 용산본점,술집>요리주점,서울특별시 용산구 한강대로52길 17-4 1층,37.5321209,126.9723321,,https://app.catchtable.co.kr/ct/shop/uhhangro
자루야키용산로 신용산본점,술집>이자카야,서울특별시 용산구 한강대로40가길 13,37.5307595,126.9713878,,https://app.catchtable.co.kr/ct/shop/zaruyaki
롯데호텔서울 페닌슐라 라운지&amp;바,술집>바(BAR),서울특별시 중구 을지로 30 롯데호텔 본관 1층,37.5654500,126.9806234,,https://www.lottehotel.com/seoul-hotel/ko/dining/peninsula-lounge-bar
간빠맥주 을지로3가점,술집>이자카야,서울특별시 중구 을지로14길 27 101호,37.5650440,126.9922757,,https://ganmaek.com/
신당동 주식,술집>요리주점,서울특별시 중구 청구로17길 104,37.5567865,127.0110614,,https://catchtable.co.kr/jusik_shindang
오키나라,술집>이자카야,서울특별시 중랑구 중랑역로 69 1층 오키나라,37.5995044,127.0780053,,https://www.instagram.com/__okinara__
라운지목화 먹골관,술집>요리주점,서울특별시 중랑구 공릉로4길 4 101호,37.6130293,127.0781059,,
토담,"술집>전통,민속주점",서울특별시 용산구 청파로45길 37,37.5444930,126.9685829,,
토라 천호직영점,술집>이자카야,서울특별시 강동구 올림픽로70길 60 1층,37.5389712,127.1268905,,https://www.instagram.com/izakayatora_cheonho_
역전할머니맥주 서울천호점,"술집>맥주,호프",서울특별시 강동구 천호대로157길 31 1층,37.5391734,127.1274406,,http://instagram.com/yukjunbeer_432
역전할머니맥주 서울발산역점,"술집>맥주,호프",서울특별시 강서구 마곡동로4길 15 1층 역전할머니맥주 발산역점,37.5597464,126.8354142,,
새마을회관 건대점,술집>요리주점,서울특별시 광진구 아차산로33길 15 1층,37.5410230,127.0701046,,
장미술상 건대점,술집>요리주점,서울특별시 광진구 아차산로31길 3-6 1~2층 장미술상,37.5413948,127.0689885,,http://instagram.com/jangmisulsang_kondae
코지로오모테나시 구로디지털단지점,술집>이자카야,서울특별시 구로구 디지털로32길 97-16 2층,37.4834972,126.9011049,,https://kojiro.co.kr
운치 구로디지털단지본점,술집>이자카야,서울특별시 구로구 디지털로32나길 22 1층 102호,37.4840510,126.9006206,,https://www.instagram.com/unchi_headoffice
귯걸귯보이 구로직영점,술집>요리주점,서울특별시 구로구 디지털로32나길 23 1층,37.4842518,126.9006001,,https://www.instagram.com/gggb.official
역전할머니맥주 서울구로디지털단지점,"술집>맥주,호프",서울특별시 구로구 디지털로32나길 29 역전할머니맥주 구로디지털단지점,37.4844739,126.9007048,,
역전할머니맥주 서울신도림점,"술집>맥주,호프",서울특별시 구로구 경인로67길 23,37.5108019,126.8893513,,
세계단,술집>이자카야,서울특별시 구로구 공원로6나길 29-1 1층,37.5042228,126.8914040,,"https://map.naver.com/p/entry/place/1521258383?c=15.00,0,0,0,dh&placePath=/booking"
곳 노원본점,술집>요리주점,서울특별시 노원구 노해로85길 10-55 소담빌 1층 105호 106호,37.6563388,127.0661848,,https://app.catchtable.co.kr/ct/shop/gotnowon
호텔마드리드,술집>요리주점,서울특별시 노원구 노해로79길 6-19 2~3층,37.6554632,127.0625800,,https://www.instagram.com/madrid_nowon
튀맥 광운대점,"술집>맥주,호프",서울특별시 노원구 석계로15길 9,37.6226669,127.0610437,,
역전할머니맥주 서울노량진점,"술집>맥주,호프",서울특별시 동작구 만양로 104 1층,37.5128309,126.9443960,,
