가맹점명,사용가능 지역화폐,시도명,시군구명,소재지도로명주소,데이터기준일자
(주) 허그맘허그인심리상담센터 목동점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 오목로 340 (목동) 협성빌딩 A동 3층,2024-08-20
(주)갈무리학원,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동동로 387 (목동) 2층,2024-08-20
(주)강남현대종합광고,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울  양천구  신정5동 885-12번지  2층 1층101호,2024-08-20
(주)계상,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울 양천구 남부순환로86길 22, 3층 (신정동)",2024-08-20
(주)골프프렌드 목동점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울 양천구 등촌로 100 1층,2024-08-20
(주)구구엔터테인먼트,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울시 양천구 목동중앙서로9길 30 (목동),2024-08-20
(주)그린인더박스,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동서로 155 (목동) 지1층 상가 비138호,2024-08-20
(주)금비미술,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 목동중앙로 89 (목동) 201-3호, 301-2호",2024-08-20
(주)금비아트,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동서로 349 (신정동) 1106호,2024-08-20
(주)김봉길컴퍼니,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 목동서로 186 (목동) 102,102호 성우네트빌",2024-08-20
(주)나우케미칼,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 남부순환로 425 1층(신월동),2024-08-20
(주)넉넉한사람들,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울 양천구 신목로2길 7, 1층 (신정동) 1층",2024-08-20
(주)넥스트융합,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 오목로 345 (목동) 620호,2024-08-20
(주)넷피플,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울 양천구 신목로 59, 2층 (신정동) （주）넷피플",2024-08-20
(주)노바유에스에이테니스,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 목동동로 233-3 (목동) 5층(목동, 서울이동통신빌딩)",2024-08-20
(주)다뉴브,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 신정로 267 (신정동) 503호,2024-08-20
(주)더에이치코리아,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 등촌로 36(목동) 1층,2024-08-20
(주)동그라미산후조리원 강서점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 화곡로 64 (신월동) 동아빌딩 2층,2024-08-20
(주)동양보일러,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울시 양천구 곰달래로14길 22 1층,2024-08-20
(주)동진레저 화곡점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 화곡로 54(신월동) 102호,2024-08-20
(주)두신상사,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 목동서로2길 22, 지하1층 6호 (목동, 한신청구아파트) （주）두신상사",2024-08-20
(주)디씨에이치,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울시 양천구 목동서로 225 (목동,예술인센터2층)",2024-08-20
"(주)디제이비오비(DJ.BOB.Co.,Ltd.)",서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울시 양천구 곰달래로6길 8 1층,2024-08-20
(주)락원에프앤비,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동동로 293 (목동) 308호,2024-08-20
(주)레아스포츠,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 신월로 315 3층(신정동,청호빌딩)",2024-08-20
(주)로드맵에듀,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울시 양천구 목동서로389 (신정동,테마프라자10층,11층)",2024-08-20
(주)리뉴하우스,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 중앙로 342 (신정동) 1층 ㈜리뉴하우스,2024-08-20
(주)마미스케어컴퍼니,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동동로 293 (목동) 현대41타워 3210호,2024-08-20
(주)바질레이 목동중앙점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 목동동로 385(목동, 벽산미라지타워) 405호,406호",2024-08-20
